date,club_id,product_id,units,unit_price,net_sales,region,business_unit
2024-01-04,TX200,SNK-001,88,4.99,439.12,TX,snacks
2024-01-04,TX200,SNK-002,23,4.99,114.77000000000001,TX,snacks
2024-01-04,TX200,BEV-001,100,8.99,899.0,TX,beverage
2024-01-04,CA100,SNK-001,100,8.99,899.0,CA,snacks
2024-01-04,CA100,SNK-002,56,4.99,279.44,CA,snacks
2024-01-04,CA100,BEV-001,70,4.99,349.3,CA,beverage
2024-01-05,TX100,SNK-001,115,2.99,343.85,TX,snacks
2024-01-05,TX100,SNK-002,106,8.99,952.94,TX,snacks
2024-01-05,TX100,BEV-001,13,4.99,64.87,TX,beverage
2024-01-05,TX200,SNK-001,64,8.99,575.36,TX,snacks
2024-01-05,TX200,SNK-002,115,2.99,343.85,TX,snacks
2024-01-05,TX200,BEV-001,92,8.99,827.08,TX,beverage
2024-01-05,CA100,SNK-001,103,8.99,925.97,CA,snacks
2024-01-05,CA100,SNK-002,42,4.99,209.58,CA,snacks
2024-01-05,CA100,BEV-001,5,8.99,44.95,CA,beverage
2024-01-06,TX100,SNK-001,69,2.99,206.31,TX,snacks
2024-01-06,TX100,SNK-002,116,8.99,1042.84,TX,snacks
2024-01-06,TX100,BEV-001,82,2.99,245.18,TX,beverage
2024-01-06,TX200,SNK-001,102,2.99,304.98,TX,snacks
2024-01-06,TX200,SNK-002,5,8.99,44.95,TX,snacks
2024-01-06,TX200,BEV-001,7,2.99,20.93,TX,beverage
2024-01-06,CA100,SNK-001,117,4.99,583.83,CA,snacks
2024-01-06,CA100,SNK-002,35,8.99,314.65000000000003,CA,snacks
2024-01-06,CA100,BEV-001,15,8.99,134.85,CA,beverage
2024-01-07,TX100,SNK-001,102,8.99,916.98,TX,snacks
2024-01-07,TX100,SNK-002,21,8.99,188.79,TX,snacks
2024-01-07,TX100,BEV-001,26,4.99,129.74,TX,beverage
2024-01-07,TX200,SNK-001,59,2.99,176.41000000000003,TX,snacks
2024-01-07,TX200,SNK-002,101,8.99,907.99,TX,snacks
2024-01-07,TX200,BEV-001,96,4.99,479.04,TX,beverage
2024-01-07,CA100,SNK-001,61,8.99,548.39,CA,snacks
2024-01-07,CA100,SNK-002,36,2.99,107.64000000000001,CA,snacks
2024-01-07,CA100,BEV-001,7,8.99,62.93,CA,beverage
2024-01-08,TX100,SNK-001,80,2.99,239.20000000000002,TX,snacks
2024-01-08,TX100,SNK-002,95,8.99,854.0500000000001,TX,snacks
2024-01-08,TX100,BEV-001,13,2.99,38.870000000000005,TX,beverage
2024-01-08,TX200,SNK-001,14,8.99,125.86,TX,snacks
2024-01-08,TX200,SNK-002,90,4.99,449.1,TX,snacks
2024-01-08,TX200,BEV-001,21,8.99,188.79,TX,beverage
2024-01-08,CA100,SNK-001,78,4.99,389.22,CA,snacks
2024-01-08,CA100,SNK-002,108,4.99,538.9200000000001,CA,snacks
2024-01-08,CA100,BEV-001,17,8.99,152.83,CA,beverage
2024-01-09,TX100,SNK-001,59,4.99,294.41,TX,snacks
2024-01-09,TX100,SNK-002,91,8.99,818.09,TX,snacks
2024-01-09,TX100,BEV-001,12,4.99,59.88,TX,beverage
2024-01-09,TX200,SNK-001,107,2.99,319.93,TX,snacks
2024-01-09,TX200,SNK-002,29,8.99,260.71,TX,snacks
2024-01-09,TX200,BEV-001,59,2.99,176.41000000000003,TX,beverage
2024-01-09,CA100,SNK-001,36,2.99,107.64000000000001,CA,snacks
2024-01-09,CA100,SNK-002,17,2.99,50.830000000000005,CA,snacks
2024-01-09,CA100,BEV-001,112,2.99,334.88,CA,beverage
2024-01-10,TX100,SNK-001,101,2.99,301.99,TX,snacks
2024-01-10,TX100,SNK-002,67,4.99,334.33000000000004,TX,snacks
2024-01-10,TX100,BEV-001,120,2.99,358.8,TX,beverage
2024-01-10,TX200,SNK-001,5,4.99,24.950000000000003,TX,snacks
2024-01-10,TX200,SNK-002,41,4.99,204.59,TX,snacks
2024-01-10,TX200,BEV-001,89,8.99,800.11,TX,beverage
2024-01-10,CA100,SNK-001,29,4.99,144.71,CA,snacks
2024-01-10,CA100,SNK-002,79,8.99,710.21,CA,snacks
2024-01-10,CA100,BEV-001,100,4.99,499.0,CA,beverage
2024-01-11,TX100,SNK-001,79,4.99,394.21000000000004,TX,snacks
2024-01-11,TX100,SNK-002,25,2.99,74.75,TX,snacks
2024-01-11,TX100,BEV-001,15,2.99,44.85,TX,beverage
2024-01-11,TX200,SNK-001,13,8.99,116.87,TX,snacks
2024-01-11,TX200,SNK-002,56,2.99,167.44,TX,snacks
2024-01-11,TX200,BEV-001,36,8.99,323.64,TX,beverage
2024-01-11,CA100,SNK-001,84,2.99,251.16000000000003,CA,snacks
2024-01-11,CA100,SNK-002,77,8.99,692.23,CA,snacks
2024-01-11,CA100,BEV-001,31,8.99,278.69,CA,beverage
2024-01-12,TX100,SNK-001,35,4.99,174.65,TX,snacks
2024-01-12,TX100,SNK-002,90,8.99,809.1,TX,snacks
2024-01-12,TX100,BEV-001,45,2.99,134.55,TX,beverage
2024-01-12,TX200,SNK-001,84,8.99,755.16,TX,snacks
2024-01-12,TX200,SNK-002,73,2.99,218.27,TX,snacks
2024-01-12,TX200,BEV-001,21,4.99,104.79,TX,beverage
2024-01-12,CA100,SNK-001,117,2.99,349.83000000000004,CA,snacks
2024-01-12,CA100,SNK-002,25,4.99,124.75,CA,snacks
2024-01-12,CA100,BEV-001,95,4.99,474.05,CA,beverage
2024-01-13,TX100,SNK-001,6,8.99,53.94,TX,snacks
2024-01-13,TX100,SNK-002,43,8.99,386.57,TX,snacks
2024-01-13,TX100,BEV-001,38,2.99,113.62,TX,beverage
2024-01-13,TX200,SNK-001,100,8.99,899.0,TX,snacks
2024-01-13,TX200,SNK-002,41,8.99,368.59000000000003,TX,snacks
2024-01-13,TX200,BEV-001,31,8.99,278.69,TX,beverage
2024-01-13,CA100,SNK-001,69,4.99,344.31,CA,snacks
2024-01-13,CA100,SNK-002,16,8.99,143.84,CA,snacks
2024-01-13,CA100,BEV-001,10,2.99,29.900000000000002,CA,beverage
2024-01-14,TX100,SNK-001,86,4.99,429.14000000000004,TX,snacks
2024-01-14,TX100,SNK-002,75,8.99,674.25,TX,snacks
2024-01-14,TX100,BEV-001,6,2.99,17.94,TX,beverage
2024-01-14,TX200,SNK-001,74,2.99,221.26000000000002,TX,snacks
2024-01-14,TX200,SNK-002,79,8.99,710.21,TX,snacks
2024-01-14,TX200,BEV-001,21,2.99,62.790000000000006,TX,beverage
2024-01-14,CA100,SNK-001,120,2.99,358.8,CA,snacks
2024-01-14,CA100,SNK-002,31,8.99,278.69,CA,snacks
2024-01-14,CA100,BEV-001,50,8.99,449.5,CA,beverage
2024-01-15,TX100,SNK-001,84,8.99,755.16,TX,snacks
2024-01-15,TX100,SNK-002,115,2.99,343.85,TX,snacks
2024-01-15,TX100,BEV-001,117,4.99,583.83,TX,beverage
2024-01-15,TX200,SNK-001,99,4.99,494.01000000000005,TX,snacks
2024-01-15,TX200,SNK-002,107,8.99,961.9300000000001,TX,snacks
2024-01-15,TX200,BEV-001,39,2.99,116.61000000000001,TX,beverage
2024-01-15,CA100,SNK-001,53,2.99,158.47,CA,snacks
2024-01-15,CA100,SNK-002,33,2.99,98.67,CA,snacks
2024-01-15,CA100,BEV-001,49,4.99,244.51000000000002,CA,beverage
2024-01-16,TX100,SNK-001,33,2.99,98.67,TX,snacks
2024-01-16,TX100,SNK-002,56,4.99,279.44,TX,snacks
2024-01-16,TX100,BEV-001,103,4.99,513.97,TX,beverage
2024-01-16,TX200,SNK-001,56,8.99,503.44,TX,snacks
2024-01-16,TX200,SNK-002,47,2.99,140.53,TX,snacks
2024-01-16,TX200,BEV-001,27,8.99,242.73000000000002,TX,beverage
2024-01-16,CA100,SNK-001,9,2.99,26.910000000000004,CA,snacks
2024-01-16,CA100,SNK-002,49,8.99,440.51,CA,snacks
2024-01-16,CA100,BEV-001,60,8.99,539.4,CA,beverage
2024-01-17,TX100,SNK-001,54,8.99,485.46000000000004,TX,snacks
2024-01-17,TX100,SNK-002,10,8.99,89.9,TX,snacks
2024-01-17,TX100,BEV-001,71,8.99,638.29,TX,beverage
2024-01-17,TX200,SNK-001,51,4.99,254.49,TX,snacks
2024-01-17,TX200,SNK-002,84,4.99,419.16,TX,snacks
2024-01-17,TX200,BEV-001,97,4.99,484.03000000000003,TX,beverage
2024-01-17,CA100,SNK-001,90,4.99,449.1,CA,snacks
2024-01-17,CA100,SNK-002,94,4.99,469.06,CA,snacks
2024-01-17,CA100,BEV-001,29,4.99,144.71,CA,beverage
2024-01-18,TX100,SNK-001,91,8.99,818.09,TX,snacks
2024-01-18,TX100,SNK-002,83,8.99,746.1700000000001,TX,snacks
2024-01-18,TX100,BEV-001,75,2.99,224.25000000000003,TX,beverage
2024-01-18,TX200,SNK-001,31,4.99,154.69,TX,snacks
2024-01-18,TX200,SNK-002,82,8.99,737.1800000000001,TX,snacks
2024-01-18,TX200,BEV-001,61,4.99,304.39,TX,beverage
2024-01-18,CA100,SNK-001,70,4.99,349.3,CA,snacks
2024-01-18,CA100,SNK-002,89,2.99,266.11,CA,snacks
2024-01-18,CA100,BEV-001,89,8.99,800.11,CA,beverage
2024-01-19,TX100,SNK-001,16,2.99,47.84,TX,snacks
2024-01-19,TX100,SNK-002,33,2.99,98.67,TX,snacks
2024-01-19,TX100,BEV-001,10,2.99,29.900000000000002,TX,beverage
2024-01-19,TX200,SNK-001,113,2.99,337.87,TX,snacks
2024-01-19,TX200,SNK-002,118,8.99,1060.82,TX,snacks
2024-01-19,TX200,BEV-001,96,8.99,863.04,TX,beverage
2024-01-19,CA100,SNK-001,56,2.99,167.44,CA,snacks
2024-01-19,CA100,SNK-002,119,2.99,355.81,CA,snacks
2024-01-19,CA100,BEV-001,33,2.99,98.67,CA,beverage
2024-01-20,TX100,SNK-001,64,2.99,191.36,TX,snacks
2024-01-20,TX100,SNK-002,113,2.99,337.87,TX,snacks
2024-01-20,TX100,BEV-001,107,4.99,533.9300000000001,TX,beverage
2024-01-20,TX200,SNK-001,76,8.99,683.24,TX,snacks
2024-01-20,TX200,SNK-002,83,8.99,746.1700000000001,TX,snacks
2024-01-20,TX200,BEV-001,59,8.99,530.41,TX,beverage
2024-01-20,CA100,SNK-001,100,4.99,499.0,CA,snacks
2024-01-20,CA100,SNK-002,101,2.99,301.99,CA,snacks
2024-01-20,CA100,BEV-001,103,8.99,925.97,CA,beverage
2024-01-21,TX100,SNK-001,40,4.99,199.60000000000002,TX,snacks
2024-01-21,TX100,SNK-002,35,4.99,174.65,TX,snacks
2024-01-21,TX100,BEV-001,119,8.99,1069.81,TX,beverage
2024-01-21,TX200,SNK-001,24,2.99,71.76,TX,snacks
2024-01-21,TX200,SNK-002,95,2.99,284.05,TX,snacks
2024-01-21,TX200,BEV-001,57,4.99,284.43,TX,beverage
2024-01-21,CA100,SNK-001,58,2.99,173.42000000000002,CA,snacks
2024-01-21,CA100,SNK-002,54,8.99,485.46000000000004,CA,snacks
2024-01-21,CA100,BEV-001,114,8.99,1024.8600000000001,CA,beverage
2024-01-22,TX100,SNK-001,5,4.99,24.950000000000003,TX,snacks
2024-01-22,TX100,SNK-002,114,4.99,568.86,TX,snacks
2024-01-22,TX100,BEV-001,107,8.99,961.9300000000001,TX,beverage
2024-01-22,TX200,SNK-001,67,2.99,200.33,TX,snacks
2024-01-22,TX200,SNK-002,67,2.99,200.33,TX,snacks
2024-01-22,TX200,BEV-001,90,8.99,809.1,TX,beverage
2024-01-22,CA100,SNK-001,97,2.99,290.03000000000003,CA,snacks
2024-01-22,CA100,SNK-002,21,8.99,188.79,CA,snacks
2024-01-22,CA100,BEV-001,55,8.99,494.45,CA,beverage
2024-01-23,TX100,SNK-001,15,8.99,134.85,TX,snacks
2024-01-23,TX100,SNK-002,115,4.99,573.85,TX,snacks
2024-01-23,TX100,BEV-001,38,4.99,189.62,TX,beverage
2024-01-23,TX200,SNK-001,63,4.99,314.37,TX,snacks
2024-01-23,TX200,SNK-002,40,4.99,199.60000000000002,TX,snacks
2024-01-23,TX200,BEV-001,65,2.99,194.35000000000002,TX,beverage
2024-01-23,CA100,SNK-001,11,4.99,54.89,CA,snacks
2024-01-23,CA100,SNK-002,104,8.99,934.96,CA,snacks
2024-01-23,CA100,BEV-001,36,2.99,107.64000000000001,CA,beverage
2024-01-24,TX100,SNK-001,84,2.99,251.16000000000003,TX,snacks
2024-01-24,TX100,SNK-002,65,8.99,584.35,TX,snacks
2024-01-24,TX100,BEV-001,32,4.99,159.68,TX,beverage
2024-01-24,TX200,SNK-001,103,4.99,513.97,TX,snacks
2024-01-24,TX200,SNK-002,82,8.99,737.1800000000001,TX,snacks
2024-01-24,TX200,BEV-001,104,2.99,310.96000000000004,TX,beverage
2024-01-24,CA100,SNK-001,18,8.99,161.82,CA,snacks
2024-01-24,CA100,SNK-002,78,8.99,701.22,CA,snacks
2024-01-24,CA100,BEV-001,55,8.99,494.45,CA,beverage
2024-01-25,TX100,SNK-001,80,8.99,719.2,TX,snacks
2024-01-25,TX100,SNK-002,18,8.99,161.82,TX,snacks
2024-01-25,TX100,BEV-001,113,8.99,1015.87,TX,beverage
2024-01-25,TX200,SNK-001,106,8.99,952.94,TX,snacks
2024-01-25,TX200,SNK-002,49,8.99,440.51,TX,snacks
2024-01-25,TX200,BEV-001,13,8.99,116.87,TX,beverage
2024-01-25,CA100,SNK-001,6,4.99,29.94,CA,snacks
2024-01-25,CA100,SNK-002,18,4.99,89.82000000000001,CA,snacks
2024-01-25,CA100,BEV-001,86,4.99,429.14000000000004,CA,beverage
2024-01-26,TX100,SNK-001,60,2.99,179.4,TX,snacks
2024-01-26,TX100,SNK-002,88,4.99,439.12,TX,snacks
2024-01-26,TX100,BEV-001,104,4.99,518.96,TX,beverage
2024-01-26,TX200,SNK-001,110,8.99,988.9,TX,snacks
2024-01-26,TX200,SNK-002,46,2.99,137.54000000000002,TX,snacks
2024-01-26,TX200,BEV-001,40,4.99,199.60000000000002,TX,beverage
2024-01-26,CA100,SNK-001,77,8.99,692.23,CA,snacks
2024-01-26,CA100,SNK-002,48,2.99,143.52,CA,snacks
2024-01-26,CA100,BEV-001,28,4.99,139.72,CA,beverage
2024-01-27,TX100,SNK-001,107,4.99,533.9300000000001,TX,snacks
2024-01-27,TX100,SNK-002,117,8.99,1051.83,TX,snacks
2024-01-27,TX100,BEV-001,76,2.99,227.24,TX,beverage
2024-01-27,TX200,SNK-001,15,2.99,44.85,TX,snacks
2024-01-27,TX200,SNK-002,67,8.99,602.33,TX,snacks
2024-01-27,TX200,BEV-001,93,4.99,464.07,TX,beverage
2024-01-27,CA100,SNK-001,62,2.99,185.38000000000002,CA,snacks
2024-01-27,CA100,SNK-002,33,4.99,164.67000000000002,CA,snacks
2024-01-27,CA100,BEV-001,44,8.99,395.56,CA,beverage
2024-01-28,TX100,SNK-001,65,8.99,584.35,TX,snacks
2024-01-28,TX100,SNK-002,59,8.99,530.41,TX,snacks
2024-01-28,TX100,BEV-001,50,8.99,449.5,TX,beverage
2024-01-28,TX200,SNK-001,44,4.99,219.56,TX,snacks
2024-01-28,TX200,SNK-002,97,2.99,290.03000000000003,TX,snacks
2024-01-28,TX200,BEV-001,100,8.99,899.0,TX,beverage
2024-01-28,CA100,SNK-001,29,2.99,86.71000000000001,CA,snacks
2024-01-28,CA100,SNK-002,40,8.99,359.6,CA,snacks
2024-01-28,CA100,BEV-001,81,4.99,404.19,CA,beverage
2024-01-29,TX100,SNK-001,42,2.99,125.58000000000001,TX,snacks
2024-01-29,TX100,SNK-002,43,2.99,128.57000000000002,TX,snacks
2024-01-29,TX100,BEV-001,21,4.99,104.79,TX,beverage
2024-01-29,TX200,SNK-001,75,4.99,374.25,TX,snacks
2024-01-29,TX200,SNK-002,86,4.99,429.14000000000004,TX,snacks
2024-01-29,TX200,BEV-001,78,4.99,389.22,TX,beverage
2024-01-29,CA100,SNK-001,61,4.99,304.39,CA,snacks
2024-01-29,CA100,SNK-002,37,4.99,184.63,CA,snacks
2024-01-29,CA100,BEV-001,56,4.99,279.44,CA,beverage
2024-01-30,TX100,SNK-001,85,8.99,764.15,TX,snacks
2024-01-30,TX100,SNK-002,24,8.99,215.76,TX,snacks
2024-01-30,TX100,BEV-001,15,2.99,44.85,TX,beverage
2024-01-30,TX200,SNK-001,102,4.99,508.98,TX,snacks
2024-01-30,TX200,SNK-002,106,8.99,952.94,TX,snacks
2024-01-30,TX200,BEV-001,53,4.99,264.47,TX,beverage
2024-01-30,CA100,SNK-001,43,8.99,386.57,CA,snacks
2024-01-30,CA100,SNK-002,77,8.99,692.23,CA,snacks
2024-01-30,CA100,BEV-001,99,2.99,296.01000000000005,CA,beverage
