date,club_id,product_id,return_units,region,business_unit
2024-01-18,TX200,SNK-001,4,TX,snacks
2024-01-18,TX200,SNK-002,3,TX,snacks
2024-01-18,TX200,BEV-001,1,TX,beverage
2024-01-18,CA100,SNK-001,1,CA,snacks
2024-01-18,CA100,SNK-002,4,CA,snacks
2024-01-18,CA100,BEV-001,2,CA,beverage
2024-01-19,TX100,SNK-001,2,TX,snacks
2024-01-19,TX100,SNK-002,0,TX,snacks
2024-01-19,TX100,BEV-001,4,TX,beverage
2024-01-19,TX200,SNK-001,3,TX,snacks
2024-01-19,TX200,SNK-002,1,TX,snacks
2024-01-19,TX200,BEV-001,3,TX,beverage
2024-01-19,CA100,SNK-001,0,CA,snacks
2024-01-19,CA100,SNK-002,3,CA,snacks
2024-01-19,CA100,BEV-001,4,CA,beverage
2024-01-20,TX100,SNK-001,1,TX,snacks
2024-01-20,TX100,SNK-002,1,TX,snacks
2024-01-20,TX100,BEV-001,4,TX,beverage
2024-01-20,TX200,SNK-001,3,TX,snacks
2024-01-20,TX200,SNK-002,4,TX,snacks
2024-01-20,TX200,BEV-001,1,TX,beverage
2024-01-20,CA100,SNK-001,2,CA,snacks
2024-01-20,CA100,SNK-002,2,CA,snacks
2024-01-20,CA100,BEV-001,1,CA,beverage
2024-01-21,TX100,SNK-001,2,TX,snacks
2024-01-21,TX100,SNK-002,2,TX,snacks
2024-01-21,TX100,BEV-001,1,TX,beverage
2024-01-21,TX200,SNK-001,1,TX,snacks
2024-01-21,TX200,SNK-002,3,TX,snacks
2024-01-21,TX200,BEV-001,3,TX,beverage
2024-01-21,CA100,SNK-001,3,CA,snacks
2024-01-21,CA100,SNK-002,0,CA,snacks
2024-01-21,CA100,BEV-001,3,CA,beverage
2024-01-22,TX100,SNK-001,3,TX,snacks
2024-01-22,TX100,SNK-002,4,TX,snacks
2024-01-22,TX100,BEV-001,1,TX,beverage
2024-01-22,TX200,SNK-001,3,TX,snacks
2024-01-22,TX200,SNK-002,2,TX,snacks
2024-01-22,TX200,BEV-001,3,TX,beverage
2024-01-22,CA100,SNK-001,3,CA,snacks
2024-01-22,CA100,SNK-002,0,CA,snacks
2024-01-22,CA100,BEV-001,0,CA,beverage
2024-01-23,TX100,SNK-001,1,TX,snacks
2024-01-23,TX100,SNK-002,0,TX,snacks
2024-01-23,TX100,BEV-001,1,TX,beverage
2024-01-23,TX200,SNK-001,3,TX,snacks
2024-01-23,TX200,SNK-002,0,TX,snacks
2024-01-23,TX200,BEV-001,4,TX,beverage
2024-01-23,CA100,SNK-001,0,CA,snacks
2024-01-23,CA100,SNK-002,0,CA,snacks
2024-01-23,CA100,BEV-001,0,CA,beverage
2024-01-24,TX100,SNK-001,1,TX,snacks
2024-01-24,TX100,SNK-002,4,TX,snacks
2024-01-24,TX100,BEV-001,2,TX,beverage
2024-01-24,TX200,SNK-001,4,TX,snacks
2024-01-24,TX200,SNK-002,0,TX,snacks
2024-01-24,TX200,BEV-001,2,TX,beverage
2024-01-24,CA100,SNK-001,2,CA,snacks
2024-01-24,CA100,SNK-002,3,CA,snacks
2024-01-24,CA100,BEV-001,0,CA,beverage
2024-01-25,TX100,SNK-001,1,TX,snacks
2024-01-25,TX100,SNK-002,2,TX,snacks
2024-01-25,TX100,BEV-001,0,TX,beverage
2024-01-25,TX200,SNK-001,0,TX,snacks
2024-01-25,TX200,SNK-002,2,TX,snacks
2024-01-25,TX200,BEV-001,2,TX,beverage
2024-01-25,CA100,SNK-001,3,CA,snacks
2024-01-25,CA100,SNK-002,2,CA,snacks
2024-01-25,CA100,BEV-001,1,CA,beverage
2024-01-26,TX100,SNK-001,4,TX,snacks
2024-01-26,TX100,SNK-002,4,TX,snacks
2024-01-26,TX100,BEV-001,3,TX,beverage
2024-01-26,TX200,SNK-001,2,TX,snacks
2024-01-26,TX200,SNK-002,0,TX,snacks
2024-01-26,TX200,BEV-001,3,TX,beverage
2024-01-26,CA100,SNK-001,3,CA,snacks
2024-01-26,CA100,SNK-002,2,CA,snacks
2024-01-26,CA100,BEV-001,2,CA,beverage
2024-01-27,TX100,SNK-001,2,TX,snacks
2024-01-27,TX100,SNK-002,2,TX,snacks
2024-01-27,TX100,BEV-001,1,TX,beverage
2024-01-27,TX200,SNK-001,3,TX,snacks
2024-01-27,TX200,SNK-002,1,TX,snacks
2024-01-27,TX200,BEV-001,3,TX,beverage
2024-01-27,CA100,SNK-001,2,CA,snacks
2024-01-27,CA100,SNK-002,1,CA,snacks
2024-01-27,CA100,BEV-001,2,CA,beverage
2024-01-28,TX100,SNK-001,2,TX,snacks
2024-01-28,TX100,SNK-002,2,TX,snacks
2024-01-28,TX100,BEV-001,2,TX,beverage
2024-01-28,TX200,SNK-001,0,TX,snacks
2024-01-28,TX200,SNK-002,0,TX,snacks
2024-01-28,TX200,BEV-001,1,TX,beverage
2024-01-28,CA100,SNK-001,3,CA,snacks
2024-01-28,CA100,SNK-002,4,CA,snacks
2024-01-28,CA100,BEV-001,1,CA,beverage
2024-01-29,TX100,SNK-001,1,TX,snacks
2024-01-29,TX100,SNK-002,4,TX,snacks
2024-01-29,TX100,BEV-001,0,TX,beverage
2024-01-29,TX200,SNK-001,1,TX,snacks
2024-01-29,TX200,SNK-002,0,TX,snacks
2024-01-29,TX200,BEV-001,3,TX,beverage
2024-01-29,CA100,SNK-001,0,CA,snacks
2024-01-29,CA100,SNK-002,0,CA,snacks
2024-01-29,CA100,BEV-001,4,CA,beverage
2024-01-30,TX100,SNK-001,1,TX,snacks
2024-01-30,TX100,SNK-002,2,TX,snacks
2024-01-30,TX100,BEV-001,4,TX,beverage
2024-01-30,TX200,SNK-001,4,TX,snacks
2024-01-30,TX200,SNK-002,4,TX,snacks
2024-01-30,TX200,BEV-001,3,TX,beverage
2024-01-30,CA100,SNK-001,2,CA,snacks
2024-01-30,CA100,SNK-002,4,CA,snacks
2024-01-30,CA100,BEV-001,1,CA,beverage
