date,club_id,product_id,on_hand_units,region,business_unit
2024-01-07,CA100,SNK-001,231,CA,snacks
2024-01-07,CA100,SNK-002,32,CA,snacks
2024-01-07,CA100,BEV-001,283,CA,beverage
2024-01-08,TX100,SNK-001,3,TX,snacks
2024-01-08,TX100,SNK-002,30,TX,snacks
2024-01-08,TX100,BEV-001,440,TX,beverage
2024-01-08,TX200,SNK-001,121,TX,snacks
2024-01-08,TX200,SNK-002,109,TX,snacks
2024-01-08,TX200,BEV-001,478,TX,beverage
2024-01-08,CA100,SNK-001,124,CA,snacks
2024-01-08,CA100,SNK-002,97,CA,snacks
2024-01-08,CA100,BEV-001,220,CA,beverage
2024-01-09,TX100,SNK-001,239,TX,snacks
2024-01-09,TX100,SNK-002,330,TX,snacks
2024-01-09,TX100,BEV-001,372,TX,beverage
2024-01-09,TX200,SNK-001,127,TX,snacks
2024-01-09,TX200,SNK-002,229,TX,snacks
2024-01-09,TX200,BEV-001,142,TX,beverage
2024-01-09,CA100,SNK-001,226,CA,snacks
2024-01-09,CA100,SNK-002,333,CA,snacks
2024-01-09,CA100,BEV-001,496,CA,beverage
2024-01-10,TX100,SNK-001,85,TX,snacks
2024-01-10,TX100,SNK-002,109,TX,snacks
2024-01-10,TX100,BEV-001,84,TX,beverage
2024-01-10,TX200,SNK-001,135,TX,snacks
2024-01-10,TX200,SNK-002,356,TX,snacks
2024-01-10,TX200,BEV-001,249,TX,beverage
2024-01-10,CA100,SNK-001,111,CA,snacks
2024-01-10,CA100,SNK-002,277,CA,snacks
2024-01-10,CA100,BEV-001,29,CA,beverage
2024-01-11,TX100,SNK-001,257,TX,snacks
2024-01-11,TX100,SNK-002,491,TX,snacks
2024-01-11,TX100,BEV-001,35,TX,beverage
2024-01-11,TX200,SNK-001,441,TX,snacks
2024-01-11,TX200,SNK-002,482,TX,snacks
2024-01-11,TX200,BEV-001,304,TX,beverage
2024-01-11,CA100,SNK-001,214,CA,snacks
2024-01-11,CA100,SNK-002,161,CA,snacks
2024-01-11,CA100,BEV-001,366,CA,beverage
2024-01-12,TX100,SNK-001,202,TX,snacks
2024-01-12,TX100,SNK-002,153,TX,snacks
2024-01-12,TX100,BEV-001,4,TX,beverage
2024-01-12,TX200,SNK-001,51,TX,snacks
2024-01-12,TX200,SNK-002,259,TX,snacks
2024-01-12,TX200,BEV-001,451,TX,beverage
2024-01-12,CA100,SNK-001,189,CA,snacks
2024-01-12,CA100,SNK-002,426,CA,snacks
2024-01-12,CA100,BEV-001,313,CA,beverage
2024-01-13,TX100,SNK-001,418,TX,snacks
2024-01-13,TX100,SNK-002,53,TX,snacks
2024-01-13,TX100,BEV-001,455,TX,beverage
2024-01-13,TX200,SNK-001,79,TX,snacks
2024-01-13,TX200,SNK-002,107,TX,snacks
2024-01-13,TX200,BEV-001,324,TX,beverage
2024-01-13,CA100,SNK-001,128,CA,snacks
2024-01-13,CA100,SNK-002,216,CA,snacks
2024-01-13,CA100,BEV-001,170,CA,beverage
2024-01-14,TX100,SNK-001,82,TX,snacks
2024-01-14,TX100,SNK-002,218,TX,snacks
2024-01-14,TX100,BEV-001,38,TX,beverage
2024-01-14,TX200,SNK-001,427,TX,snacks
2024-01-14,TX200,SNK-002,75,TX,snacks
2024-01-14,TX200,BEV-001,157,TX,beverage
2024-01-14,CA100,SNK-001,460,CA,snacks
2024-01-14,CA100,SNK-002,127,CA,snacks
2024-01-14,CA100,BEV-001,452,CA,beverage
2024-01-15,TX100,SNK-001,79,TX,snacks
2024-01-15,TX100,SNK-002,499,TX,snacks
2024-01-15,TX100,BEV-001,12,TX,beverage
2024-01-15,TX200,SNK-001,400,TX,snacks
2024-01-15,TX200,SNK-002,442,TX,snacks
2024-01-15,TX200,BEV-001,403,TX,beverage
2024-01-15,CA100,SNK-001,439,CA,snacks
2024-01-15,CA100,SNK-002,418,CA,snacks
2024-01-15,CA100,BEV-001,420,CA,beverage
2024-01-16,TX100,SNK-001,337,TX,snacks
2024-01-16,TX100,SNK-002,142,TX,snacks
2024-01-16,TX100,BEV-001,179,TX,beverage
2024-01-16,TX200,SNK-001,431,TX,snacks
2024-01-16,TX200,SNK-002,59,TX,snacks
2024-01-16,TX200,BEV-001,492,TX,beverage
2024-01-16,CA100,SNK-001,305,CA,snacks
2024-01-16,CA100,SNK-002,402,CA,snacks
2024-01-16,CA100,BEV-001,261,CA,beverage
2024-01-17,TX100,SNK-001,97,TX,snacks
2024-01-17,TX100,SNK-002,223,TX,snacks
2024-01-17,TX100,BEV-001,351,TX,beverage
2024-01-17,TX200,SNK-001,35,TX,snacks
2024-01-17,TX200,SNK-002,339,TX,snacks
2024-01-17,TX200,BEV-001,259,TX,beverage
2024-01-17,CA100,SNK-001,167,CA,snacks
2024-01-17,CA100,SNK-002,283,CA,snacks
2024-01-17,CA100,BEV-001,340,CA,beverage
2024-01-18,TX100,SNK-001,462,TX,snacks
2024-01-18,TX100,SNK-002,154,TX,snacks
2024-01-18,TX100,BEV-001,155,TX,beverage
2024-01-18,TX200,SNK-001,402,TX,snacks
2024-01-18,TX200,SNK-002,164,TX,snacks
2024-01-18,TX200,BEV-001,345,TX,beverage
2024-01-18,CA100,SNK-001,406,CA,snacks
2024-01-18,CA100,SNK-002,145,CA,snacks
2024-01-18,CA100,BEV-001,317,CA,beverage
2024-01-19,TX100,SNK-001,344,TX,snacks
2024-01-19,TX100,SNK-002,75,TX,snacks
2024-01-19,TX100,BEV-001,243,TX,beverage
2024-01-19,TX200,SNK-001,233,TX,snacks
2024-01-19,TX200,SNK-002,294,TX,snacks
2024-01-19,TX200,BEV-001,196,TX,beverage
2024-01-19,CA100,SNK-001,75,CA,snacks
2024-01-19,CA100,SNK-002,398,CA,snacks
2024-01-19,CA100,BEV-001,411,CA,beverage
2024-01-20,TX100,SNK-001,285,TX,snacks
2024-01-20,TX100,SNK-002,233,TX,snacks
2024-01-20,TX100,BEV-001,341,TX,beverage
2024-01-20,TX200,SNK-001,162,TX,snacks
2024-01-20,TX200,SNK-002,456,TX,snacks
2024-01-20,TX200,BEV-001,228,TX,beverage
2024-01-20,CA100,SNK-001,230,CA,snacks
2024-01-20,CA100,SNK-002,430,CA,snacks
2024-01-20,CA100,BEV-001,248,CA,beverage
2024-01-21,TX100,SNK-001,39,TX,snacks
2024-01-21,TX100,SNK-002,171,TX,snacks
2024-01-21,TX100,BEV-001,41,TX,beverage
2024-01-21,TX200,SNK-001,196,TX,snacks
2024-01-21,TX200,SNK-002,32,TX,snacks
2024-01-21,TX200,BEV-001,277,TX,beverage
2024-01-21,CA100,SNK-001,105,CA,snacks
2024-01-21,CA100,SNK-002,484,CA,snacks
2024-01-21,CA100,BEV-001,194,CA,beverage
2024-01-22,TX100,SNK-001,152,TX,snacks
2024-01-22,TX100,SNK-002,275,TX,snacks
2024-01-22,TX100,BEV-001,459,TX,beverage
2024-01-22,TX200,SNK-001,139,TX,snacks
2024-01-22,TX200,SNK-002,199,TX,snacks
2024-01-22,TX200,BEV-001,408,TX,beverage
2024-01-22,CA100,SNK-001,430,CA,snacks
2024-01-22,CA100,SNK-002,273,CA,snacks
2024-01-22,CA100,BEV-001,288,CA,beverage
2024-01-23,TX100,SNK-001,219,TX,snacks
2024-01-23,TX100,SNK-002,93,TX,snacks
2024-01-23,TX100,BEV-001,167,TX,beverage
2024-01-23,TX200,SNK-001,172,TX,snacks
2024-01-23,TX200,SNK-002,129,TX,snacks
2024-01-23,TX200,BEV-001,383,TX,beverage
2024-01-23,CA100,SNK-001,114,CA,snacks
2024-01-23,CA100,SNK-002,20,CA,snacks
2024-01-23,CA100,BEV-001,429,CA,beverage
2024-01-24,TX100,SNK-001,122,TX,snacks
2024-01-24,TX100,SNK-002,58,TX,snacks
2024-01-24,TX100,BEV-001,358,TX,beverage
2024-01-24,TX200,SNK-001,85,TX,snacks
2024-01-24,TX200,SNK-002,367,TX,snacks
2024-01-24,TX200,BEV-001,493,TX,beverage
2024-01-24,CA100,SNK-001,13,CA,snacks
2024-01-24,CA100,SNK-002,464,CA,snacks
2024-01-24,CA100,BEV-001,101,CA,beverage
2024-01-25,TX100,SNK-001,425,TX,snacks
2024-01-25,TX100,SNK-002,395,TX,snacks
2024-01-25,TX100,BEV-001,307,TX,beverage
2024-01-25,TX200,SNK-001,400,TX,snacks
2024-01-25,TX200,SNK-002,219,TX,snacks
2024-01-25,TX200,BEV-001,331,TX,beverage
2024-01-25,CA100,SNK-001,421,CA,snacks
2024-01-25,CA100,SNK-002,491,CA,snacks
2024-01-25,CA100,BEV-001,362,CA,beverage
2024-01-26,TX100,SNK-001,375,TX,snacks
2024-01-26,TX100,SNK-002,315,TX,snacks
2024-01-26,TX100,BEV-001,238,TX,beverage
2024-01-26,TX200,SNK-001,303,TX,snacks
2024-01-26,TX200,SNK-002,425,TX,snacks
2024-01-26,TX200,BEV-001,124,TX,beverage
2024-01-26,CA100,SNK-001,342,CA,snacks
2024-01-26,CA100,SNK-002,253,CA,snacks
2024-01-26,CA100,BEV-001,108,CA,beverage
2024-01-27,TX100,SNK-001,174,TX,snacks
2024-01-27,TX100,SNK-002,359,TX,snacks
2024-01-27,TX100,BEV-001,264,TX,beverage
2024-01-27,TX200,SNK-001,368,TX,snacks
2024-01-27,TX200,SNK-002,388,TX,snacks
2024-01-27,TX200,BEV-001,330,TX,beverage
2024-01-27,CA100,SNK-001,47,CA,snacks
2024-01-27,CA100,SNK-002,354,CA,snacks
2024-01-27,CA100,BEV-001,297,CA,beverage
2024-01-28,TX100,SNK-001,271,TX,snacks
2024-01-28,TX100,SNK-002,281,TX,snacks
2024-01-28,TX100,BEV-001,232,TX,beverage
2024-01-28,TX200,SNK-001,118,TX,snacks
2024-01-28,TX200,SNK-002,161,TX,snacks
2024-01-28,TX200,BEV-001,486,TX,beverage
2024-01-28,CA100,SNK-001,378,CA,snacks
2024-01-28,CA100,SNK-002,301,CA,snacks
2024-01-28,CA100,BEV-001,51,CA,beverage
2024-01-29,TX100,SNK-001,184,TX,snacks
2024-01-29,TX100,SNK-002,362,TX,snacks
2024-01-29,TX100,BEV-001,23,TX,beverage
2024-01-29,TX200,SNK-001,357,TX,snacks
2024-01-29,TX200,SNK-002,52,TX,snacks
2024-01-29,TX200,BEV-001,240,TX,beverage
2024-01-29,CA100,SNK-001,94,CA,snacks
2024-01-29,CA100,SNK-002,58,CA,snacks
2024-01-29,CA100,BEV-001,37,CA,beverage
2024-01-30,TX100,SNK-001,27,TX,snacks
2024-01-30,TX100,SNK-002,485,TX,snacks
2024-01-30,TX100,BEV-001,60,TX,beverage
2024-01-30,TX200,SNK-001,310,TX,snacks
2024-01-30,TX200,SNK-002,115,TX,snacks
2024-01-30,TX200,BEV-001,465,TX,beverage
2024-01-30,CA100,SNK-001,219,CA,snacks
2024-01-30,CA100,SNK-002,30,CA,snacks
2024-01-30,CA100,BEV-001,485,CA,beverage
